Supplier,21st Jun 2021,28th Jun 2021,5th Jul 2021,12th Jul 2021,19th Jul 2021,26th Jul 2021,2nd Aug 2021,9th Aug 2021,16th Aug 2021,23rd Aug 2021,30th Aug 2021,6th Sep 2021,13th Sep 2021,20th Sep 2021,27th Sep 2021,4th Oct 2021,11th Oct 2021,18th Oct 2021,25th Oct 2021,1st Nov 2021,8th Nov 2021,15th Nov 2021,22nd Nov 2021,29th Nov 2021,6th Dec 2021,13th Dec 2021,20th Dec 2021,27th Dec 2021,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
Los Andes Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,177.65,110.5,44,49.35,20.5,30.5,31.35,77.81827,202.55,103.2,212.325,104.475,50.9,79.5,41.38176,17.925,1383.42503,0,1383.42503,1,0
No Supplier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,16.975,37.805,72.2822,10.5,15.4,26.95,0,0,13.65,0,0,0,22.5,0,0,0,0,0,0,52,0,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,150,0,100,0,66.9,250,80,1296.5622,486.25,810.3122,0.62497,0
Thai Village Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.2,275.2,191.1,267.3,149,184.3,67.7,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257.8,716.08,541.72,0.43069,0
Culottee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,191.1,0,240.1,195.2876,93.1,0,66.6,49,147,142.1,49,0,1222.2876,0,1222.2876,1,0
Gatchews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,53,33,33.1,47,92.6,74,130.6075,96.53274,55,25.45,53.95,78.05,11,22,0,14.5,0,18.58,26,11,30.85,11,0,4.95,15.95,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,11,30,20,26,22,0,12,0,32,0,1142.12024,730.49,411.63024,0.36041,0
TTG Wines Pte Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.32,71.688,36.397,0,36.652,0,0,0,19.5,19.5,0,0,0,0,0,33.15,58,0,70.2,0,70.2,0,0,46.64,97,0,0,86.24,104.64,0,58,0,0,0,0,0,33.66,67.32,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,33.66,0,0,0,0,49.3,0,0,67.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.387,729.64,410.747,0.36018,0
MOZMORO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,15,28.5,0,0,0,24,0,102,88,121,40.8,156,24,0,0,110,86,15,24,72,39,24,15,24,24,0,1113.3,0,1113.3,1,0
Grinearth Global,0,0,0,0,0,0,0,0,36.12,36.12,51.6,37.41,36.12,12.9,12.9,0,12.9,12.9,11.61,25.8,49.02,11.61,25.8,10.965,22.704,12.9,0,0,38.7,12.9,0,10.578,0,25.8,38.7,25.8,0,24.51,36.12,12.9,11.61,64.5,0,10.965,0,0,0,0,0,12.9,0,0,12.9,0,0,12.9,11.61,0,12.9,12.9,12.9,0,11.61,23.22,36.12,0,25.8,11.61,0,11.61,24.51,11.61,10.062,25.8,38.7,0,0,0,0,12.9,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077.924,673.38,404.544,0.3753,0
Moom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,266,0,0,0,70,0,65.96832,68,0,0,0,0,0,0,0,76.9,43.9,0,0,43.9,0,92.28,46.14,0,90.04,0,0,1073.12832,1006.56,66.56832,0.06203,0
Endota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.5,425.5,94.5,195,215,35,1067.5,0,1067.5,1,0
