Supplier,21st Jun 2021,28th Jun 2021,5th Jul 2021,12th Jul 2021,19th Jul 2021,26th Jul 2021,2nd Aug 2021,9th Aug 2021,16th Aug 2021,23rd Aug 2021,30th Aug 2021,6th Sep 2021,13th Sep 2021,20th Sep 2021,27th Sep 2021,4th Oct 2021,11th Oct 2021,18th Oct 2021,25th Oct 2021,1st Nov 2021,8th Nov 2021,15th Nov 2021,22nd Nov 2021,29th Nov 2021,6th Dec 2021,13th Dec 2021,20th Dec 2021,27th Dec 2021,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,Sale Count,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
Green Gaea,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,75.7,0,75.7,1,0
Akesi Wellness,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,43.5,14.5,0.25,0
TGC-Petale Tea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,53.7,0,53.7,1,0
RdytoGlow,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0,51,1,0
TGC-Kawah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47.775,27,20.775,0.43485,0
Bare Necessities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,45.27,0,45.27,1,0
OGreen Living,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,16.4,16.6,0.50303,0
Blendery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.238,3.626,17.612,0.82927,0
Clessidra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,20,1,0
XQZT(Amrta chocolates),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,12,1,0
"Not Shit, Fun Wines",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.9,0,11.9,1,0
Zestyleaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.9,0,7.9,1,0
Vietnam Handmade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1.25,3.75,0.75,0

Sale Count,332,383,355,342,299,250,276,342,341,290,339,289,271,289,280,246,322,296,312,340,423,346,427,638,702,833,975,470,407,353,286,396,356,336,386,324,323,363,398,373,344,361,375,729,352,440,415,400,399,359,292,363,351,316,318,298,416,349,410,513,356,393,390,373,355,362,395,437,357,323,376,370,548,463,461,682,829,1017,1177,598,424,394,328,469,388,411,458,403,459,527,457,375,384,457,415,472,477,550,571,418,515,519,518,534,212
Revenue,9394.8995,9695.0755,9658.88851,10168.94,8642.1625,6758.38399,6935.416,9153.3625,8849.06999,8014.22149,9559.40948,9222.952,8719.80001,8297.4985,8145.411,6826.7745,8499.6855,8724.776,9102.4405,11050.17727,13689.24098,10622.41945,15657.47346,20976.63274,25392.67337,29752.56293,37081.73997,16419.64498,13671.111,10989.51699,11042.326,12683.45601,12056.136,10399.24099,12591.78399,9873.013,9387.25201,11315.621,12472.406,12059.04699,10726.43499,12919.63299,10809.49549,34132.86402,11365.1555,13721.601,14399.8635,13651.0735,11909.9265,10631.7825,8545.7535,10693.205,11043.2775,9690.15551,9597.231,10601.35,12445.46799,10263.5695,12011.6255,16753.58,10122.614,11569.2325,11953.76078,10837.682,12432.5995,9452.27769,11994.9796,13238.253,10402.56552,9800.0025,12046.759,10956.666,16920.4406,14948.135,14093.571,32563.83452,26639.74901,34231.76402,40201.06952,18574.95251,13144.181,13501.02797,9899.45749,14669.31255,11802.12503,14487.51998,13875.03,12381.05,13731.24599,15750.7965,13484.2735,11817.2315,12354.1975,13974.63899,13969.9065,15322.9205,13836.46499,15290.52,18431.43,13714.775,16328.234,17351.91998,18078.35,17880.09291,7178
Cost of Goods Sold,602.2179,534.03089,541.65962,507.0616,620.88151,474.34932,525.61499,887.25485,586.53933,516.43288,454.46566,484.06957,593.44831,425.10104,394.82024,280.2392,552.17872,452.27248,637.89956,528.41143,771.50054,638.33475,982.96075,1179.1516,1105.93437,1217.17222,2317.28259,657.86214,604.70043,395.2635,365.96185,555.248,411.33068,444.71033,520.20742,611.09429,549.29913,818.64365,657.80017,829.66473,514.28747,570.36328,743.24645,601.96138,365.87909,519.58138,441.28718,684.1553,427.6991,430.37875,320.14463,507.78704,380.64068,492.35558,328.82693,275.06786,451.24345,250.73743,2278.86921,2611.04582,693.78208,701.3037,793.32696,601.05409,350.75947,382.24925,513.70914,311.74875,214.15524,212.84814,415.94289,412.81821,295.26902,396.67949,340.7657,699.04826,980.17853,766.19466,1162.33862,412.5337,153.69232,352.89121,366.60803,171.4533,192.40081,273.41792,371.6053,202.33748,123.4924,312.31064,255.82814,183.6554,146.21385,198.22503,165.13,146.55656,303.71,371.10855,334.30046,389.41974,270.6696,342.65916,401.48569,137.32756,23.89
Gross Profit,8792.6816,9161.04461,9117.22889,9661.8784,8021.28099,6284.03467,6409.80101,8266.10765,8262.53066,7497.78861,9104.94382,8738.88243,8126.3517,7872.39746,7750.59076,6546.5353,7947.50678,8272.50352,8464.54094,10521.76584,12917.74044,9984.0847,14674.51271,19797.48114,24286.739,28535.39071,34764.45738,15761.78284,13066.41057,10594.25349,10676.36415,12128.20801,11644.80532,9954.53066,12071.57657,9261.91871,8837.95287,10496.97735,11814.60583,11229.38226,10212.14752,12349.26971,10066.24904,33530.90264,10999.27641,13202.01962,13958.57632,12966.9182,11482.2274,10201.40375,8225.60887,10185.41796,10662.63682,9197.79993,9268.40407,10326.28214,11994.22454,10012.83207,9732.75629,14142.53418,9428.83192,10867.9288,11160.43383,10236.62791,12081.84003,9070.02843,11481.27046,12926.50425,10188.41026,9587.15436,11630.81611,10543.84779,16625.17158,14551.45551,13752.8053,31864.78626,25659.57048,33465.56936,39038.7309,18162.41881,12990.48868,13148.13676,9532.84945,14497.85923,11609.72421,14214.10206,13503.4247,12178.71252,13607.75359,15438.48586,13228.44536,11633.5761,12207.98365,13776.41396,13804.7765,15176.36394,13532.75499,14919.41145,18097.12954,13325.35526,16057.5644,17009.26082,17676.86423,17742.76529,7154.10997
Margin (%),0.9359,0.94492,0.94392,0.95014,0.92816,0.92981,0.92421,0.90307,0.93372,0.93556,0.95246,0.94751,0.93194,0.94877,0.95153,0.95895,0.93504,0.94816,0.92992,0.95218,0.94364,0.93991,0.93722,0.94379,0.95645,0.95909,0.93751,0.95993,0.95577,0.96403,0.96686,0.95622,0.96588,0.95724,0.95869,0.9381,0.94148,0.92765,0.94726,0.9312,0.95205,0.95585,0.93124,0.98236,0.96781,0.96213,0.96935,0.94988,0.96409,0.95952,0.96254,0.95251,0.96553,0.94919,0.96574,0.97405,0.96374,0.97557,0.81028,0.84415,0.93146,0.93938,0.93363,0.94454,0.97179,0.95956,0.95717,0.97645,0.97941,0.97828,0.96547,0.96232,0.98255,0.97346,0.97582,0.97853,0.96321,0.97762,0.97109,0.97779,0.98831,0.97386,0.96297,0.98831,0.9837,0.98113,0.97322,0.98366,0.99101,0.98017,0.98103,0.98446,0.98816,0.98582,0.98818,0.99044,0.97805,0.97573,0.98186,0.97161,0.98342,0.98025,0.97779,0.99232,0.99667
Tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
