id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Funan,inventory_Funan,reorder_point_Funan,restock_level_Funan
6d76bb92-68c4-4dd6-a079-ba661fe1e449,i-spy-a-pocket-girls-top-in-blue-dot-hand-block-print-cotton-6-12,25365,,,,‘I spy a pocket’ girls top in blue dot hand block print cotton 6-12,,KIDS,,,,,,,Kids;Tops;CHILDRENS WEARABLES,0,40.00,,,Love the world today,Nimbu,C22D9F1C612,1,1,Default Tax,1,,
ed9d6f12-48c9-4516-be51-6c9cf22f8c20,i-spy-a-pocket-girls-top-in-blue-dot-hand-block-print-cotton-6-8,25369,,,,‘I spy a pocket’ girls top in blue dot hand block print cotton 6-8,,KIDS,,,,,,,Kids;Tops;CHILDRENS WEARABLES,0,40.00,,,Love the world today,Nimbu,C22D9F1C68,1,1,Default Tax,1,,
dc26dd67-d178-411c-88b1-9ca99ad2d7ed,innocence-unisex-jumpsuit-in-blue-polka-hand-block-print-cotton-4-6,25371,,,,‘Innocence' Unisex Jumpsuit in Blue Polka Hand Block Print Cotton 4-6,,KIDS,,,,,,,Kids;Tops;CHILDRENS WEARABLES,0,45.00,,,Love the world today,Nimbu,C22D4F1C46,1,1,Default Tax,1,,
3a67e8bd-602e-4d4f-ba66-477919225bf4,innocence-unisex-jumpsuit-in-blue-polka-hand-block-print-cotton-6-12,25370,,,,‘Innocence' Unisex Jumpsuit in Blue Polka Hand Block Print Cotton 6-12,,KIDS,,,,,,,Kids;Tops;CHILDRENS WEARABLES,0,45.00,,,Love the world today,Nimbu,C22D4F1C612,1,1,Default Tax,1,,
39037ead-af87-45a0-8d00-eedc4c68efa2,innocence-unisex-jumpsuit-in-blue-polka-hand-block-print-cotton-6-8,25372,,,,‘Innocence' Unisex Jumpsuit in Blue Polka Hand Block Print Cotton 6-8,,KIDS,,,,,,,Kids;Tops;CHILDRENS WEARABLES,0,45.00,,,Love the world today,Nimbu,C22D4F1C68,1,1,Default Tax,1,,
0f383ad8-11a3-4b78-8a8f-231c4c3124cb,innocence-unisex-jumpsuit-in-yellow-polka-hand-block-print-cotton-1-2,25374,,,,‘Innocence' Unisex Jumpsuit in Yellow Polka Hand Block Print Cotton 1-2,,KIDS,,,,,,,Kids;Tops;CHILDRENS WEARABLES,0,45.00,,,Love the world today,Nimbu,C22D4F212,1,1,Default Tax,1,,
02d21b41-6133-42e0-ae57-ceac353e6774,innocence-unisex-jumpsuit-in-yellow-polka-hand-block-print-cotton-6-12,25373,,,,‘Innocence' Unisex Jumpsuit in Yellow Polka Hand Block Print Cotton 6-12,,KIDS,,,,,,,Kids;Tops;CHILDRENS WEARABLES,0,45.00,,,Love the world today,Nimbu,C22D4F2612,1,1,Default Tax,1,,
937d8e2b-145b-42ff-a0fe-dd140a30e8fe,innocence-unisex-jumpsuit-in-yellow-polka-hand-block-print-cotton-6-8,25375,,,,‘Innocence' Unisex Jumpsuit in Yellow Polka Hand Block Print Cotton 6-8,,KIDS,,,,,,,Kids;Tops;CHILDRENS WEARABLES,0,45.00,,,Love the world today,Nimbu,C22D4F268,1,1,Default Tax,1,,
5b648215-fd06-408b-9982-0f1e1fd181fc,scent-of-flowers-girls-coord-set-in-pink-floral-hand-block-print-cotton-1-2,25377,,,,‘Scent of flowers’ girls coord set in pink floral hand block print cotton 1-2,,KIDS,,,,,,,Kids;SETS;CHILDRENS WEARABLES,0,72.00,,,Love the world today,Nimbu,C22D11F4C12,1,1,Default Tax,1,,
8d6de1ea-594b-4599-9900-8640e824e03d,scent-of-flowers-girls-coord-set-in-pink-floral-hand-block-print-cotton-10-12,25380,,,,‘Scent of flowers’ girls coord set in pink floral hand block print cotton 10-12,,KIDS,,,,,,,Kids;SETS;CHILDRENS WEARABLES,0,72.00,,,Love the world today,Nimbu,C22D11F4C1012,1,1,Default Tax,1,,
c9b32b82-d78a-4108-b33d-3ff0270d24a2,scent-of-flowers-girls-coord-set-in-pink-floral-hand-block-print-cotton-2-4,25378,,,,‘Scent of flowers’ girls coord set in pink floral hand block print cotton 2-4,,KIDS,,,,,,,Kids;SETS;CHILDRENS WEARABLES,0,72.00,,,Love the world today,Nimbu,C22D11F4C24,1,1,Default Tax,1,,
00713848-405b-44e0-90e4-dcaeb24e3d18,scent-of-flowers-girls-coord-set-in-pink-floral-hand-block-print-cotton-4-6,25379,,,,‘Scent of flowers’ girls coord set in pink floral hand block print cotton 4-6,,KIDS,,,,,,,Kids;SETS;CHILDRENS WEARABLES,0,72.00,,,Love the world today,Nimbu,C22D11F4C46,1,1,Default Tax,1,,
e9c14e45-6864-41a5-b93e-4445266eab16,scent-of-flowers-girls-coord-set-in-pink-floral-hand-block-print-cotton-6-12,25376,,,,‘Scent of flowers’ girls coord set in pink floral hand block print cotton 6-12,,KIDS,,,,,,,Kids;SETS;CHILDRENS WEARABLES,0,72.00,,,Love the world today,Nimbu,C22D11F4C612,1,1,Default Tax,1,,
